Namespace(batch_size=16, cuda=True, d_inner_hid=2048, d_k=64, d_model=512, d_v=64, d_word_vec=512, data='./gcn_diff/vocab/vocab', dropout=0.1, embs_share_weight=True, epoch=130, label_smoothing=True, log='./gcn_diff/log/finetune_4layer_6head_0.5mask', max_token_seq_len=514, model=None, n_head=6, n_layers=4, n_warmup_steps=4000, no_cuda=False, proj_share_weight=True, save_mode='best', save_model='./gcn_diff/finetune/finetune_4layer_6head_0.5mask', save_thres=None, seed=42, src_vocab_size=9424, tgt_vocab_size=9424)
epoch,loss,ppl,accuracy
0, 8.54498, 5140.87389,9.676
1, 7.74637, 2313.15510,12.830
2, 7.41001, 1652.44680,15.386
3, 7.15146, 1275.97084,16.476
4, 6.91783, 1010.12335,17.559
5, 6.66420, 783.83896,19.794
6, 6.42557, 617.43218,21.041
7, 6.19468, 490.13684,22.792
8, 5.97828, 394.76244,23.774
9, 5.74986, 314.14592,25.484
10, 5.51068, 247.31880,27.582
11, 5.31451, 203.26416,29.225
12, 5.10538, 164.90601,31.596
13, 4.89039, 133.00566,34.042
14, 4.69885, 109.82059,36.093
15, 4.52687, 92.46846,38.212
16, 4.34114, 76.79484,40.842
17, 4.15268, 63.60398,43.077
18, 4.00443, 54.84065,44.256
19, 3.83038, 46.07993,47.159
20, 3.67296, 39.36822,48.780
21, 3.53021, 34.13110,51.445
22, 3.36967, 29.06904,53.714
23, 3.24398, 25.63555,55.833
24, 3.10745, 22.36404,59.137
25, 3.02543, 20.60296,60.343
26, 2.91017, 18.35989,61.958
27, 2.81587, 16.70765,64.377
28, 2.71077, 15.04084,66.496
29, 2.59606, 13.41075,69.249
30, 2.58099, 13.21026,68.956
31, 2.51180, 12.32705,70.339
32, 2.49783, 12.15610,70.680
33, 2.44542, 11.53545,71.641
34, 2.40695, 11.10003,72.642
35, 2.36436, 10.63726,73.283
36, 2.29686, 9.94291,75.055
37, 2.23505, 9.34696,76.772
38, 2.16421, 8.70768,78.632
39, 2.11492, 8.28895,79.688
40, 2.08272, 8.02624,80.621
41, 2.06460, 7.88214,80.846
42, 2.02146, 7.54930,81.739
43, 1.98905, 7.30862,82.918
44, 1.97131, 7.18004,83.408
45, 1.93887, 6.95090,84.226
46, 1.91851, 6.81081,85.159
47, 1.89275, 6.63757,85.548
48, 1.88259, 6.57052,85.636
49, 1.87068, 6.49271,86.147
50, 1.83041, 6.23646,87.170
51, 1.81994, 6.17147,87.762
52, 1.83136, 6.24238,87.360
53, 1.80385, 6.07301,87.844
54, 1.77821, 5.91923,89.023
55, 1.78758, 5.97497,88.635
56, 1.78012, 5.93058,88.560
57, 1.76480, 5.84039,88.996
58, 1.73082, 5.64531,90.243
59, 1.74857, 5.74635,89.670
60, 1.72716, 5.62469,90.147
61, 1.72532, 5.61430,90.249
62, 1.70611, 5.50752,90.583
63, 1.70489, 5.50079,90.842
64, 1.69676, 5.45623,90.910
65, 1.68920, 5.41517,90.822
66, 1.68532, 5.39417,91.210
67, 1.66633, 5.29272,91.619
68, 1.67197, 5.32265,91.340
69, 1.65627, 5.23973,91.939
70, 1.65396, 5.22762,91.667
71, 1.65442, 5.23004,91.926
72, 1.63658, 5.13757,92.525
73, 1.64270, 5.16911,92.041
74, 1.63480, 5.12841,92.334
75, 1.61895, 5.04778,92.655
76, 1.62049, 5.05555,92.423
77, 1.61993, 5.05274,92.702
78, 1.61650, 5.03545,92.668
79, 1.60857, 4.99567,93.070
80, 1.60503, 4.97801,92.941
81, 1.59659, 4.93618,93.118
82, 1.59354, 4.92115,93.186
83, 1.58433, 4.87604,93.520
84, 1.58627, 4.88547,93.479
85, 1.58285, 4.86879,93.343
86, 1.57963, 4.85315,93.466
87, 1.56953, 4.80441,93.670
88, 1.56579, 4.78648,93.854
89, 1.56779, 4.79601,93.847
90, 1.55738, 4.74635,93.936
91, 1.55803, 4.74944,93.956
92, 1.55676, 4.74340,93.936
93, 1.55748, 4.74685,93.813
94, 1.54612, 4.69324,94.195
95, 1.54471, 4.68661,94.222
96, 1.54471, 4.68660,94.058
97, 1.54677, 4.69627,94.229
98, 1.53895, 4.65970,94.460
99, 1.53086, 4.62214,94.494
100, 1.53276, 4.63093,94.331
101, 1.53197, 4.62728,94.447
102, 1.52444, 4.59256,94.603
103, 1.52659, 4.60245,94.481
104, 1.53101, 4.62284,94.474
105, 1.51376, 4.54380,94.794
106, 1.52202, 4.58147,94.651
107, 1.52352, 4.58836,94.474
108, 1.51478, 4.54842,94.808
109, 1.51303, 4.54048,94.767
110, 1.50838, 4.51942,94.828
111, 1.50920, 4.52311,94.903
112, 1.52103, 4.57693,94.597
113, 1.50181, 4.48979,94.924
114, 1.50202, 4.49076,94.930
115, 1.49951, 4.47948,95.094
116, 1.50259, 4.49333,94.856
117, 1.50392, 4.49931,94.896
118, 1.50393, 4.49931,94.760
119, 1.49361, 4.45313,95.162
120, 1.50294, 4.49487,94.692
121, 1.48825, 4.42934,95.244
122, 1.48543, 4.41685,95.176
123, 1.49101, 4.44158,95.189
124, 1.49420, 4.45575,95.040
125, 1.48750, 4.42602,95.121
126, 1.48521, 4.41588,95.046
127, 1.47608, 4.37577,95.278
128, 1.47558, 4.37358,95.346
129, 1.47198, 4.35787,95.482
