Namespace(batch_size=16, cuda=True, d_inner_hid=2048, d_k=64, d_model=512, d_v=64, d_word_vec=512, data='./gcn_diff/vocab/pretrain_vocab', dropout=0.1, embs_share_weight=True, epoch=30, label_smoothing=True, log='./gcn_diff/log/pretrain_4layer_6head_0.5mask', max_token_seq_len=514, model=None, n_head=6, n_layers=4, n_warmup_steps=4000, no_cuda=False, proj_share_weight=True, save_mode='best', save_model='./gcn_diff/pretrain/pretrain_4layer_6head_0.5mask', save_thres=None, seed=42, src_vocab_size=9424, tgt_vocab_size=9424)
epoch,loss,ppl,accuracy
0, 8.39349, 4418.22214,8.832
1, 6.43277, 621.89285,14.566
2, 5.76532, 319.04204,19.007
3, 5.11863, 167.10692,36.033
4, 4.68896, 108.73959,45.743
5, 4.43080, 83.99881,50.583
6, 4.23121, 68.80056,53.442
7, 4.06337, 58.17027,55.502
8, 3.87655, 48.25740,57.499
9, 3.71693, 41.13798,59.160
10, 3.58041, 35.88820,61.092
11, 3.41678, 30.47119,62.179
12, 3.26266, 26.11883,64.271
13, 3.15184, 23.37895,66.028
14, 3.04334, 20.97519,66.683
15, 2.97737, 19.63617,66.475
16, 2.83257, 16.98899,69.126
17, 2.76130, 15.82034,69.765
18, 2.68305, 14.62971,71.091
19, 2.58095, 13.20971,72.209
20, 2.52180, 12.45097,72.688
21, 2.43288, 11.39161,74.796
22, 2.36972, 10.69441,76.138
23, 2.31677, 10.14291,77.112
24, 2.21552, 9.16614,78.821
25, 2.18214, 8.86522,79.237
26, 2.14448, 8.53759,79.205
27, 2.06538, 7.88826,80.898
28, 2.02813, 7.59986,81.872
29, 2.02173, 7.55140,81.920
